Package,LibPath,Version,Priority,Built
pillar,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.3
pkgconfig,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.1,NA,3.3.2
pkgKitten,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.4,NA,3.3.2
pkgmaker,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.22,NA,3.3.0
PKI,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-5.1,NA,3.3.2
plm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.6-6,NA,3.3.2
plogr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-1,NA,3.3.0
pls,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.6-0,NA,3.3.2
plyr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8.4,NA,3.3.0
polyclip,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.6-1,NA,3.3.2
pracma,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1.1,NA,3.3.2
praise,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.2,NA,3.3.0
ProDenICA,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0,NA,3.3.0
profvis,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.4,NA,3.3.2
progress,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.2,NA,3.3.2
psych,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.7.8,NA,3.3.3
purrr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.4,NA,3.3.2
quadprog,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5-5,NA,3.3.0
quantreg,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,5.34,NA,3.3.2
R6,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.2.2,NA,3.3.2
